mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_MAE,split1_test_MAE,split2_test_MAE,split3_test_MAE,split4_test_MAE,mean_test_MAE,std_test_MAE,rank_test_MAE,split0_test_MSE,split1_test_MSE,split2_test_MSE,split3_test_MSE,split4_test_MSE,mean_test_MSE,std_test_MSE,rank_test_MSE
60.59029092788696,0.626545063935226,0.5734023571014404,0.01929295330237745,,1000,"{'max_depth': None, 'n_estimators': 1000}",-9.209120479747876,-9.270472580467372,-9.392576121031745,-9.665213409391534,-9.810562076799226,-9.469588933487552,0.23149675192040986,1,-314.8769481539115,-327.7605712664404,-322.2146561586186,-330.13205026455023,-353.1584783653645,-329.62854084177707,12.88391217651683,1
5.867408609390258,0.2793379227369136,0.09280056953430176,0.009175054172469454,1,1000,"{'max_depth': 1, 'n_estimators': 1000}",-134.82421118262113,-132.37332959888772,-127.14962842959476,-130.0844621000564,-131.11910849413283,-131.11014796105854,2.5348656847900815,7,-24617.280766021115,-23865.93643423304,-22588.98099822854,-23424.319656863987,-23343.713056031374,-23568.04618227561,666.2106444945766,7
9.869213724136353,0.32643226583524887,0.09540061950683594,0.004630563702276996,2,1000,"{'max_depth': 2, 'n_estimators': 1000}",-72.77748394463013,-68.27514491292222,-69.61560429442622,-69.964997616433,-68.62789223395319,-69.85222460047297,1.5882077469609757,6,-7570.070464360659,-6713.972140360234,-6846.812333092408,-7034.56574767565,-6952.892425768088,-7023.662622251408,293.5551219523861,6
13.863221073150635,0.43982900497062494,0.1138005256652832,0.00570568004891654,3,1000,"{'max_depth': 3, 'n_estimators': 1000}",-44.488113991329364,-42.81258834663128,-42.018548320921155,-43.932661592286756,-44.5744289257294,-43.56526823537959,0.9963831567855617,5,-3191.028177324636,-2999.8914103194797,-2858.383151983546,-3127.3373814990064,-3252.6893169652267,-3085.865887618379,141.2437993815817,5
17.762226009368895,0.15766696133719088,0.1376007080078125,0.007914046021582742,4,1000,"{'max_depth': 4, 'n_estimators': 1000}",-35.067751152041055,-34.26107433898337,-34.62010166810842,-35.44298047065569,-35.6715453238921,-35.01269059073613,0.5179427878913422,4,-2132.3795019750387,-2057.925443022638,-2052.1945310542465,-2211.440048337486,-2250.026051800973,-2140.7931152380766,79.63714295783197,4
21.91963186264038,0.22179584451321818,0.17220077514648438,0.034154635654390315,5,1000,"{'max_depth': 5, 'n_estimators': 1000}",-30.21939301240866,-30.179206413835068,-30.13706478322873,-31.18071466597453,-30.96622529321575,-30.53652083373255,0.44439631006721464,3,-1699.6937387512203,-1664.403844648467,-1636.894527808182,-1789.0668554521542,-1787.9438760318599,-1715.6005685383766,62.76881721102356,3
22.368034172058106,2.20794408078491,0.14099979400634766,0.011798157141732298,6,1000,"{'max_depth': 6, 'n_estimators': 1000}",-26.435272130557625,-25.784463474757395,-26.163743249153836,-27.282914901009516,-27.455511028332676,-26.624380956762213,0.6446479308880352,2,-1382.1929101861474,-1279.136893649478,-1287.667453835154,-1453.6344438126964,-1438.393221046804,-1368.204984506056,73.26617471433704,2
