mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_MAE,split1_test_MAE,split2_test_MAE,split3_test_MAE,split4_test_MAE,mean_test_MAE,std_test_MAE,rank_test_MAE,split0_test_MSE,split1_test_MSE,split2_test_MSE,split3_test_MSE,split4_test_MSE,mean_test_MSE,std_test_MSE,rank_test_MSE
143.34941353797913,12.195455262658738,2.1286028385162354,0.08260469821603589,10000.0,1e-05,rbf,"{'C': 10000.0, 'gamma': 1e-05, 'kernel': 'rbf'}",-20.39110745161288,-20.15762673647403,-21.106509771112,-20.48312267656079,-21.72769016834541,-20.773211360821023,0.5711771872573486,3,-1276.7349820015904,-1102.7385633601764,-1187.3241799389918,-1205.514264206712,-1341.7838490716078,-1222.8191677158156,81.28741086457997,1
745.7319854259491,52.336079309454576,2.563203525543213,0.09998267846209405,10000.0,0.0001,rbf,"{'C': 10000.0, 'gamma': 0.0001, 'kernel': 'rbf'}",-19.050578144517743,-18.818396978937162,-21.18471375509419,-19.519118040146193,-19.789015670867,-19.67236451791246,0.829478274748704,1,-1546.5270475446187,-1178.7778336272688,-1856.6631794753548,-1426.3951682513416,-1502.8561289000022,-1502.243871559717,218.15486418919846,3
2101.4883835792543,38.0081407744127,1.761003065109253,0.11383861570090767,100000.0,1e-05,rbf,"{'C': 100000.0, 'gamma': 1e-05, 'kernel': 'rbf'}",-19.224085499428185,-19.53206725296145,-20.949261630640077,-19.085808416483328,-20.30871416878535,-19.81998739365968,0.7058512603273416,2,-1172.1009890114296,-1187.678492518344,-2068.4494050738317,-1165.8954870834646,-1289.8035871594143,-1376.7855921692967,348.7396213820795,2
4824.86434583664,130.3274072496665,1.3564054012298583,0.1144568313122023,100000.0,0.0001,rbf,"{'C': 100000.0, 'gamma': 0.0001, 'kernel': 'rbf'}",-23.821411375428145,-21.499377836425115,-26.172362439855917,-24.070869746721744,-22.89997351051749,-23.692798981789686,1.532800191969031,4,-2771.467663178429,-1479.193224278026,-4412.03628261198,-2890.496674444532,-1997.810500723091,-2710.2008690472117,995.5283854045855,4
